"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"1579","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[141,228)","[131,242)",0,20,41
"1586","0","[670, Inf)","[750,820)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",40,76,41
"1587","0","[670, Inf)","[750,820)","[650, Inf)",450,"[0.5,1)","[228,347)","[299, Inf)",131,30,41
"1590","0","[600,670)","[820, Inf)","[-Inf,550)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,41
"1592","0","[670, Inf)","[820, Inf)","[550,642)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,56,41
"1597","0","[670, Inf)","[700,750)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",100,34,41
"1599","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",3,30,41
"1602","0","[600,670)","[700,750)","[650, Inf)",650,"[1, Inf)","[347, Inf)","[299, Inf)",22,30,41
"1605","0","[600,670)","[700,750)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",15,32,41
"1609","0","[600,670)","[700,750)","[650, Inf)",300,"[1, Inf)","[228,347)","[299, Inf)",51,31,41
"1614","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",0,20,41
"1616","0","[670, Inf)","[820, Inf)","[650, Inf)",575,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,41
"1621","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",15,50,41
"1623","0","[670, Inf)","[750,820)","[642,650)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,41
"1626","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",23,20,41
"1627","0","[600,670)","[820, Inf)","[-Inf,550)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",126,118,41
"1630","1","[600,670)","[700,750)","[550,642)",300,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,41
