DebtDimId,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Premier_Fees_Billed_During_C,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Quarterly_Fico_Score,Behavior_Score,Good_Customer_Score,Utility,Bad
4766127,99,"1,100","1,068","1,069",0,33,33,35,3,0,15,18,0,599,668,699,0.971690909,0
4783551,99,400,93,75,0,20,20,25,0,0,6,1,0,784,698,942,0.188025,0
4784918,99,350,38,19,0,19,19,25,0,0,6,1,0,577,695,970,0.054857143,0
4786682,99,550,376,340,0,25,25,50,0,0,6,8,0,606,694,767,0.618145455,0
4787419,99,475,444,459,0,20,20,20,21,0,6,8,0,619,660,709,0.966273684,0
4789910,99,350,273,283,0,25,25,50,49,0,6,5,0,620,683,715,0.809057143,0
4799258,98,250,327,288,38,20,58,50,0,0,6,5,0,616,624,680,1.15156,0
4799967,99,400,345,243,0,20,20,60,-53,0,6,5,0,778,700,821,0.60815,0
4812672,99,400,405,408,8,20,28,40,30,0,6,7,0,580,662,701,1.01935,0
4831363,99,300,72,36,0,25,25,72,30,0,6,0,0,740,706,1000,0.118366667,0
4834788,98,400,391,374,0,20,20,30,0,0,6,6,0,541,666,716,0.933925,0
4841553,88,250,210,6,0,6,6,210,0,0,6,0,0,549,699,966,0.024,0
4848759,98,350,89,17,0,17,17,89,0,0,17,0,0,574,640,928,0.048571429,0
4863053,84,300,6,54,0,20,20,6,0,0,54,0,0,682,666,939,0.18,0
4874738,98,350,339,330,0,20,20,20,0,0,6,6,0,454,662,718,0.943971429,0
4890195,98,675,577,567,0,20,20,30,0,0,6,14,0,720,688,743,0.839985185,0
4900106,98,400,6,31,0,25,25,140,159,0,6,0,0,615,714,975,0.078325,0
4905248,98,400,56,37,0,25,25,25,0,0,6,1,0,640,686,956,0.093575,0
4906997,98,850,758,781,0,24,24,125,130,0,6,13,0,643,688,729,0.918458824,0
4916253,98,600,372,284,0,20,20,100,0,0,6,5,0,707,706,913,0.472833333,0
4929389,98,400,304,295,0,20,20,20,0,0,6,5,0,651,685,774,0.738625,0
4953228,98,400,317,387,0,20,20,47,106,0,6,5,0,687,672,718,0.967925,0
4974445,98,450,283,210,0,20,20,83,0,0,6,4,0,601,690,,0.466622222,0
4982521,98,250,160,85,0,20,20,100,13,0,10,2,0,503,711,871,0.34192,1
4985923,97,350,359,325,0,20,20,80,34,0,6,6,0,587,679,,0.929885714,0
4992062,98,750,712,482,0,20,20,300,53,0,6,11,0,665,658,990,0.642946667,0
5007255,88,750,516,540,0,20,20,100,106,0,6,12,0,670,700,783,0.719533333,0
5017234,97,250,202,205,0,20,20,80,72,0,6,4,0,545,691,742,0.81832,0
5032641,97,600,198,423,0,20,20,50,263,0,6,6,0,708,691,787,0.704666667,0
5039837,97,750,715,693,0,21,21,40,0,0,6,12,0,594,680,716,0.923893333,0
5077759,97,450,484,439,0,25,25,59,0,0,6,8,0,474,659,715,0.974733333,0
5108236,97,450,372,357,0,25,25,30,0,0,9,6,0,551,686,755,0.792822222,0
