DebtDimId,Months_On_Book,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Utility,Closed
6926641,84,20,0,0.918422222,0
6930041,84,17,0,0.774511111,0
6933851,84,236,0,0.77152,0
6935175,84,0,0,0.866685714,0
6944568,84,0,0,0.993709091,0
6950173,83,97,0,0.852991304,0
6954702,83,0,0,0.7775,0
6963489,83,35,0,0.860311111,0
7010549,83,27,0,0.13044,0
7015989,83,30,0,0.7646,0
7017209,83,0,0,0.022,0
7028817,83,70,0,0.952230769,0
7033332,83,52,0,0.0583,0
7036915,83,0,0,0.923533333,0
7069039,82,14,0,0.527415385,0
7071408,82,0,0,0.869914286,0
7082652,82,381,0,0.989973333,0
7101372,82,0,0,0.010909091,0
7130761,82,22,0,0.89882,0
7131596,82,12,0,0.576288889,0
7134164,82,12,0,0.711766667,0
7139232,82,51,0,0.6572,0
7144822,82,0,0,1.29256,0
7154017,82,89,0,0.9817,0
7159052,82,78,0,1.028033333,0
7171542,81,0,0,0.673966667,0
7177783,81,0,0,0.867833333,1
7191126,81,0,0,0.49868,0
7192978,81,0,0,0.705911111,0
7200320,81,0,0,0.8316,0
7219746,81,0,0,0.966611765,0
7231869,81,0,0,0.674,0
7243144,81,0,0,0.8868,0
7247483,81,98,0,0.901390476,0
7252203,81,47,0,0.95635,0
7272573,81,8,0,0.83996,0
7296314,80,0,0,0.724325,0
7304356,80,0,0,0.024,0
7328883,80,0,0,0.56812,0
7334237,80,0,0,0.70652,0
7335348,80,0,0,0.913175,0
7338530,80,0,0,0.010909091,0
7351767,80,0,0,0.02416,0
7371128,80,0,0,0.67172,0
7373150,80,15,0,0.90796,0
7395085,80,0,0,0.779085714,0
7408655,80,45,0,0.94484,0
7408830,80,91,0,1.03584,0
7411781,80,0,0,0.017142857,0
7434515,79,30,0,0.9516,0
7434896,79,28,0,1.00272,0
7446018,79,105,0,0.350266667,0
7460457,79,0,35,1.025244444,0
7468004,79,22,0,0.86652,0
7489841,79,13,0,0.96576,0
7495361,79,50,0,0.843,0
7500616,79,10,0,0.9728,0
7503447,79,0,0,0.8703,0
7518374,79,66,0,0.918644444,0
7526447,79,60,0,0.951113044,0
7544541,78,9,0,0.877771429,0
7550363,78,150,0,0.518566667,0
7553129,78,19,0,0.10116,0
7560177,78,0,0,0.024,0
7566256,78,60,0,0.79604,0
7568162,78,96,0,0.13175,0
7568309,78,111,0,0.614266667,0
7572790,78,0,0,0.024,0
7590620,78,0,0,0.943422222,0
7603571,78,13,0,0.07644,0
7604776,78,0,0,0.017142857,0
7609113,78,26,0,0.9575,0
7609945,78,98,0,0.954128571,0
7616676,78,92,0,0.39176,0
7627202,78,0,0,0.00292,0
7628157,78,0,0,0.934,0
7633328,78,33,0,0.064166667,0
7633511,78,24,0,0.48972,0
7634146,78,10,0,0.369622222,0
7636681,78,0,0,0.010909091,0
7645825,78,0,0,0.35568,0
7654955,78,0,0,0.982527273,0
7674154,77,0,0,1.16868,0
7674795,77,35,0,0.588822222,0
7685513,77,4,0,0.017066667,0
7687192,77,2,0,0.028033333,0
7698853,77,0,0,0.946339394,0
7705107,77,30,0,0.96074,0
7706971,77,26,0,1.0331,0
7708588,77,0,0,1.09308,0
7708718,77,0,0,1.088273684,0
7710375,77,0,0,0.613633333,0
7729464,77,10,0,1.016333333,0
7743423,77,12,0,0.751575,0
7747198,77,18,0,0.96624,0
7751132,77,57,0,0.25004,0
7755378,77,12,0,0.942457143,0
7757708,77,0,0,0.137166667,0
7762169,77,34,0,0.939275,0
7776781,76,162,0,0.67316,0
7787378,76,32,0,1.22348,0
7797644,76,7,0,0.908233333,0
7804112,76,0,0,0.697428571,0
7815225,76,15,0,1.00988,0
7830304,76,0,0,0.841475,0
7837853,76,10,0,0.52545,0
7838263,76,0,0,-0.046,0
7842710,76,115,0,0.228888889,0
7859019,76,52,0,0.744742857,0
7863777,76,0,0,0.8786,0
7864602,76,0,0,0.9412,0
7865105,76,0,0,0.732888889,0
7869828,76,99,0,0.469114286,0
7896638,75,0,0,-0.015975,0
7903993,75,0,0,0.676133333,0
7905435,75,19,0,1.033366667,0
7907515,75,32,0,1.019155556,0
7916949,75,0,0,0.451257143,0
7918874,75,0,0,0.005457143,0
7939880,75,0,0,0.45968,0
7950903,75,0,0,0.905333333,0
7951515,75,0,0,0.38276,0
7957470,75,0,0,0.963714286,0
7968055,75,0,0,0.7644,0
7971477,75,5,0,0.8614,0
7976895,75,0,0,0.017285714,0
7983180,75,0,0,-0.25088,0
7984247,75,0,0,0.948738462,0
7987313,75,0,0,0.969833333,0
8001134,75,0,0,0.179425,0
8012500,75,49,0,0.094444444,0
8014654,75,0,0,0.982333333,0
8018903,75,366,0,0.82794,0
8040878,74,0,0,0.58788,0
8048711,74,74,0,0.144909091,0
8057890,74,0,0,0.93144,0
8068430,74,0,0,0.940816667,0
8081003,74,96,0,1.03962,0
8086257,74,99,0,0.845511111,0
8091490,74,155,0,0.83504,0
8093842,74,13,0,0.88252,0
8099675,74,0,0,1.076,0
8101009,74,0,0,0.814233333,0
8101726,74,0,0,0.89376,0
8108047,74,305,0,0.2088875,0
8137525,74,0,0,0.941166667,0
8143687,74,0,0,0.786433333,0
8154294,74,0,0,0.8988,0
8165218,74,152,0,0.454933333,0
8167237,74,20,0,0.83556,0
8180445,73,0,0,0.885975,0
8183835,73,165,0,0.941225,0
8187979,73,1,0,0.824066667,0
8205721,73,125,0,1.004914286,0
8230424,73,0,0,0.962,0
8235030,73,128,0,0.297844444,0
8236112,73,0,0,0.98962,0
8273043,73,0,0,0.933714286,0
8281926,73,221,0,0.347327273,0
8302539,73,30,0,0.46112,0
8317286,73,62,0,1.01868,0
8329663,73,74,0,1.02192381,0
8338810,73,29,0,0.987933333,0
8340134,73,52,0,1.20468,0
8342595,72,20,0,0.944266667,0
8347144,72,0,0,0.847854546,0
8355410,72,26,0,0.83955,0
8375345,72,0,0,0.90264,0
8377054,72,0,0,0.154285714,0
8381741,72,8,0,1.14884,0
8387771,72,0,0,0.908733333,0
8388156,72,0,0,1.018466667,0
8389873,72,20,0,1.12865,0
8393679,72,0,0,0.098181818,0
8406064,72,55,0,0.27455,0
8412573,72,0,0,1.21912,0
8418581,72,0,0,0.964571429,1
8426270,72,44,0,0.8914,0
8438918,72,7,0,0.12,0
8442264,72,0,0,0.208,0
8444937,72,274,0,0.721569231,0
8453320,72,0,0,1.0278,0
8460927,72,0,0,0.989685714,0
8480209,72,0,0,0,0
8504658,72,34,0,0.976428571,0
8509140,72,375,0,0.959234783,0
8513576,71,0,0,0.15316,0
8519311,71,18,0,0.75248,0
8535972,71,185,0,0.408,0
8536493,71,5,0,0.956066667,0
8558873,71,0,0,0.8592,0
8586079,71,150,0,0.62484,0
8598630,71,0,0,0.569255814,0
8599890,71,0,0,0.841666667,0
8606335,71,72,152,0.601264,0
8611167,71,0,0,0.02,0
8613134,71,95,0,0.891688889,0
8613548,71,25,0,0.99572,0
8619306,71,45,0,0.226866667,1
8620127,71,0,0,-0.08,0
8639029,71,17,0,0.996114286,0
8639799,71,8,0,0.84492,0
8642165,71,0,0,0.024,0
8648986,71,0,0,0.533426087,1
8674685,71,80,0,0.2881,0
8685911,70,195,0,0.670266667,0
8709445,70,5,0,0.926366667,0
8730041,70,28,0,1.01164,0
8746064,70,31,0,0.0934,0
8769798,70,0,0,0.78535,0
8772727,70,0,0,0.899644444,0
8776545,70,0,0,0.69592,0
8789991,70,0,0,-0.0186,0
8794086,70,0,0,0.80896,0
8801767,70,0,0,0.97688,0
8805596,70,340,0,1.03384,0
8812786,70,13,0,0.56308,0
8825674,70,0,0,0.964357143,0
8829134,70,-140,0,0.56152,0
8851365,70,0,0,-0.06,1
8852582,70,1,0,0.41432,1
8855492,70,58,0,0.34875,0
8863983,69,25,0,1.01504,0
8869958,69,20,0,1.002575,0
8883276,69,184,0,0.8702,0
8886581,69,0,0,0.9154,0
8899490,69,0,0,0.80408,0
8910220,69,52,0,0.50538,0
8910767,69,20,0,0.9984,0
8913842,69,25,0,0.12464,0
8915840,69,0,0,0.024,0
8927632,69,60,0,0.926914286,0
8945571,69,170,0,0.762022222,0
8947129,69,0,0,0.28162,0
8953410,69,0,0,0.41212,0
8968217,69,0,0,0.85116,0
8971331,69,0,0,0.013222222,1
8971816,69,58,0,0.255,0
8980805,69,154,0,0.283366667,1
8991025,69,0,0,-0.051428571,0
9006162,69,0,0,0.43612,0
9018080,69,14,22,1.04492,0
9023372,69,0,0,0.72488,1
9035278,69,0,0,0.85775,0
9045244,68,0,0,0.012,0
9066342,68,0,0,0.015,0
