"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"3482","0","[600,670)","[820, Inf)","[550,642)",300,"[0.5,1)","[141,228)","[131,242)",0,30,17
"3483","0","[670, Inf)","[820, Inf)","[550,642)",475,"[0,0.5)","[-Inf,141)","[-Inf,131)",139,200,17
"3484","0","[600,670)","[700,750)","[-Inf,550)",400,"[0.5,1)","[347, Inf)","[299, Inf)",21,75,17
"3485","0","[600,670)","[820, Inf)","[550,642)",800,"[0.5,1)","[347, Inf)","[299, Inf)",0,221,17
"3486","1","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",0,25,17
"3487","0","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",0,30,17
"3488","0","[670, Inf)","[820, Inf)","[550,642)",275,"[0,0.5)","[-Inf,141)","[-Inf,131)",14,72,17
"3490","0","[600,670)","[700,750)","[-Inf,550)",325,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,17
"3491","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,18,17
"3492","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,36,17
"3493","0","[600,670)","[700,750)","[550,642)",325,"[1, Inf)","[228,347)","[299, Inf)",24,40,17
"3494","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",38,35,17
"3495","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[242,299)",7,30,17
"3496","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,50,17
"3498","0","[670, Inf)","[820, Inf)","[642,650)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",65,22,17
"3502","1","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,25,17
"3504","1","[600,670)","[700,750)","[550,642)",300,"[1, Inf)","[228,347)","[299, Inf)",22,34,17
"3505","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0.5,1)","[228,347)","[242,299)",144,100,17
"3508","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,17
